,ID,Choice,ReportedDuration,InVehicleTime,DestAct,NbTransf,TimePT,WalkingTimePT,WaitingTimePT,CostPT,CostCar,TimeCar,NbHousehold,NbChild,NbCar,NbMoto,NbBicy,NbBicyChild,NbComp,NbTV,Internet,NewsPaperSubs,NbCellPhones,NbSmartPhone,HouseType,OwnHouse,NbRoomsHouse,YearsInHouse,Income,Gender,BirthYear,Mothertongue,FamilSitu,OccupStat,SocioProfCat,CalculatedIncome,Education,HalfFareST,LineRelST,GenAbST,AreaRelST,OtherST,CarAvail,MarginalCostPT,CostCarCHF,Envir01,Envir02,Envir03,Envir04,Envir05,Envir06,Mobil01,Mobil02,Mobil03,Mobil04,Mobil05,Mobil06,Mobil07,Mobil08,Mobil09,Mobil10,Mobil11,Mobil12,Mobil13,Mobil14,Mobil15,Mobil16,Mobil17,Mobil18,Mobil19,Mobil20,Mobil21,Mobil22,Mobil23,Mobil24,Mobil25,Mobil26,Mobil27,ResidCh01,ResidCh02,ResidCh03,ResidCh04,ResidCh05,ResidCh06,ResidCh07,LifSty01,LifSty02,LifSty03,LifSty04,LifSty05,LifSty06,LifSty07,LifSty08,LifSty09,LifSty10,LifSty11,LifSty12,LifSty13,LifSty14,TripPurpose,TypeCommune,UrbRur,LangCode,ClassifCodeLine,frequency,ResidChild,NbTrajects,FreqCarPar,FreqTrainPar,FreqOtherPar,FreqTripHouseh,Region,distance_km,ModeToSchool,CoderegionCAR,age,Weight
323,90300602,1,10,5,1,0,21,16,0,43.0,0.25,3,1,0,1,0,1,0,1,1,1,1,1,0,2,1,3.5,10,3,2,-1,1,1,2,6,5000,3,1,2,2,2,2,1,21.5,0.36,2,2,3,3,3,4,4,3,3,4,3,2,4,3,3,3,4,3,4,4,4,4,3,3,3,3,4,4,4,6,6,3,3,4,3,3,3,2,2,5,3,3,3,3,3,4,2,3,3,3,3,2,3,3,1,2,2,2,2,3,6,1,3,-1,-1,1,7,1.7,5,7,-1,0.00087004
324,52720539,1,22,59,1,3,118,18,41,19.8,1.8,26,2,-1,2,3,2,-1,1,2,1,1,2,-1,1,1,5.0,29,4,1,1950,1,2,2,7,7000,3,2,2,2,2,2,1,19.8,2.58,2,2,4,3,3,5,5,3,3,5,5,4,4,2,5,1,5,4,5,4,3,5,4,5,3,3,2,2,5,4,1,3,2,3,4,2,2,1,5,5,5,1,2,3,1,4,2,4,2,5,3,4,4,4,2,7,1,2,3,3,4,2,3,1,1,4,5,19.0,5,5,60,0.000409116
325,54540059,1,30,53,1,2,81,26,2,21.4,3.17,31,1,0,1,0,0,0,1,0,1,1,1,1,1,1,5.0,16,6,1,1957,1,7,1,3,15000,3,2,2,2,2,2,1,21.4,4.54,4,4,2,2,4,5,4,3,3,4,3,3,3,2,4,3,4,3,4,3,4,4,3,3,3,3,3,3,4,4,3,3,3,3,4,3,3,2,2,4,3,3,4,4,4,3,3,4,3,3,3,3,3,4,1,6,2,2,4,4,4,1,3,2,2,4,6,33.0,5,6,53,0.000409116
327,19650575,1,25,2,10,0,24,22,0,6.0,0.38,4,1,0,1,0,0,-1,0,1,2,2,1,0,2,1,4.0,3,3,2,1956,2,1,1,6,5000,6,1,2,2,2,2,1,3.0,0.54,1,2,6,1,5,5,5,1,1,5,1,5,5,1,5,6,6,1,5,2,4,6,6,5,2,1,1,3,2,2,1,6,6,1,4,1,2,1,5,5,1,5,3,3,5,3,4,5,1,3,1,3,2,3,3,4,2,1,2,2,3,2,2,-1,-1,1,2,2.0,3,2,54,9.82e-05
329,28000344,2,15,6,1,0,46,40,0,2.2,0.46,6,5,1,1,0,6,0,4,0,1,1,4,1,1,1,6.0,17,4,1,1958,2,3,2,2,7000,7,1,2,2,2,2,2,2.2,0.66,4,4,3,2,5,5,4,3,2,5,3,3,5,2,5,2,2,2,2,2,4,3,2,3,4,6,6,2,4,4,2,4,3,2,4,3,2,1,2,4,2,2,4,4,4,3,2,4,2,2,2,4,4,4,1,1,2,1,1,4,5,2,3,2,2,3,3,3.2,4,3,52,0.000160139
330,50270533,1,22,26,4,0,101,75,0,16.5,1.76,22,4,2,2,0,4,2,1,1,1,2,2,0,1,1,5.5,8,5,1,1970,1,3,1,3,9000,6,1,2,2,2,1,1,8.25,2.52,4,2,2,3,4,5,1,2,1,5,2,5,4,3,4,3,4,1,5,2,4,4,4,2,2,1,4,1,4,3,2,4,4,1,4,4,2,1,1,5,2,5,4,4,4,3,1,4,2,3,4,3,3,4,3,7,1,2,2,4,5,4,3,2,3,3,5,17.6,4,5,40,0.00010913200000000001
331,10360205,1,25,26,4,1,48,19,3,4.8,1.61,17,2,-1,2,-1,-1,1,2,3,1,1,2,1,1,1,7.0,22,4,1,1941,2,2,9,8,7000,6,1,2,2,2,2,1,2.4,2.31,2,4,3,3,4,4,4,-1,2,4,4,5,4,2,4,6,3,4,2,4,4,5,2,4,4,2,4,2,4,4,6,2,3,2,4,4,4,2,4,4,2,4,3,6,6,2,2,4,6,2,3,4,4,3,3,4,2,1,4,1,3,1,-1,-1,-1,4,1,15.0,4,1,69,8.57e-05
332,54421151,1,18,33,9,2,69,24,12,12.4,2.02,20,1,-1,1,-1,1,-1,1,-1,1,1,1,-1,2,2,2.0,7,6,1,1968,1,1,1,2,15000,7,1,2,2,2,2,1,6.2,2.89,4,2,1,1,1,1,3,3,2,4,4,2,4,3,1,6,4,2,4,2,4,2,4,5,1,2,1,2,5,4,1,1,4,1,4,1,3,1,2,3,2,2,2,4,4,1,2,4,1,2,2,2,3,4,3,2,2,2,4,4,3,1,3,2,1,2,6,21.0,3,6,42,0.000160139
333,42271065,1,6,4,2,0,14,10,0,3.2,0.23,3,1,0,1,0,1,0,1,1,1,2,1,0,2,2,4.5,6,3,2,1957,1,1,1,6,5000,4,1,2,2,2,2,1,2.2,0.33,3,4,3,2,4,4,4,3,2,4,4,3,4,3,4,3,4,3,4,4,3,4,4,3,2,2,3,4,4,2,2,3,4,3,3,4,3,3,3,4,3,2,2,4,4,3,3,4,2,3,2,4,4,4,1,7,1,2,4,3,5,1,2,-1,-1,3,5,1.7,3,5,53,9.82e-05
334,39120519,0,25,29,1,1,66,30,7,8.0,1.29,14,4,1,1,0,3,2,1,1,1,1,4,1,1,1,5.0,4,4,1,1965,3,3,1,6,7000,3,2,1,2,2,2,1,0.0,1.85,1,1,4,2,2,3,3,3,2,3,3,3,5,5,1,4,4,4,5,5,2,5,3,3,3,3,4,2,3,3,5,4,3,4,3,4,4,2,4,3,1,2,2,2,2,3,3,2,5,3,3,3,3,2,1,5,2,2,2,2,2,1,3,2,1,3,2,13.0,4,2,45,0.000409116
335,54441126,1,20,27,9,1,91,60,4,7.6,0.99,14,3,1,2,1,3,0,3,1,1,2,3,1,1,1,5.0,13,5,2,1965,1,3,2,6,9000,4,1,2,2,2,2,1,3.8,1.42,2,4,2,2,5,5,3,4,1,5,4,4,4,1,4,1,4,3,4,2,5,3,4,3,5,4,3,4,5,5,1,4,3,1,4,3,1,1,1,5,3,2,4,4,3,1,3,5,1,2,3,4,4,4,3,7,1,2,4,4,3,2,-1,4,4,3,6,11.0,5,6,45,9.82e-05
336,30330486,1,63,75,8,5,200,76,49,17.2,5.19,66,3,1,2,0,2,0,2,0,1,2,2,1,1,1,5.5,3,6,2,1976,1,3,2,1,15000,7,1,2,2,2,2,1,8.6,7.44,5,5,1,1,5,5,4,4,1,1,4,5,3,1,5,5,5,1,5,1,5,5,5,1,5,1,1,5,5,5,1,1,5,4,5,1,5,1,5,5,1,1,1,3,1,1,1,5,5,1,1,2,5,4,-1,4,1,2,2,4,4,4,1,4,1,3,4,46.5,2,4,34,0.000340556
337,54540812,2,10,7,7,2,54,24,23,5.6,0.31,4,2,0,2,1,4,0,2,2,1,1,2,0,1,1,4.5,6,5,1,1965,1,3,1,3,9000,3,2,2,2,2,1,1,5.6,0.44,2,2,5,4,4,4,4,3,4,3,4,4,4,2,1,2,1,4,4,3,2,4,2,1,3,2,2,3,4,4,2,3,4,1,4,2,3,1,2,4,3,4,4,2,2,2,3,2,4,4,2,4,2,4,3,6,2,2,4,4,5,2,1,3,2,3,6,2.4,4,6,45,0.000409116
338,39110995,0,26,17,1,1,35,18,0,7.4,1.24,14,6,0,1,1,6,0,6,1,1,1,6,2,1,1,7.0,14,6,1,1952,1,3,1,1,15000,6,2,2,1,2,2,2,0.0,1.78,4,4,2,2,5,5,4,6,4,6,4,2,4,2,4,2,2,1,3,2,4,2,1,4,5,4,2,1,5,5,2,4,3,3,4,2,3,1,1,5,4,4,4,4,3,1,1,4,2,1,3,4,4,4,1,4,2,2,2,2,5,1,3,2,2,3,2,12.0,5,2,58,0.00010913200000000001
339,19730078,1,171,69,4,1,150,80,1,16.8,3.71,53,4,1,1,0,3,0,2,2,1,1,4,1,1,1,5.0,14,5,2,1964,-1,3,2,5,9000,3,1,1,2,2,2,2,8.4,5.32,4,4,5,3,3,4,3,6,6,4,6,5,5,1,4,1,4,1,5,2,6,2,1,1,5,5,3,1,6,5,2,5,5,6,4,3,5,1,4,6,4,6,4,4,3,4,3,5,3,4,5,2,2,3,3,6,1,1,2,1,5,3,3,2,3,3,2,30.9,3,2,46,0.000367986
340,28241047,1,30,169,9,3,210,13,28,47.6,1.91,19,2,0,1,0,3,0,0,1,2,1,1,0,2,1,5.0,18,3,1,1946,2,2,1,6,5000,2,2,2,2,2,2,1,47.6,2.74,1,4,3,4,2,4,5,4,2,5,5,5,5,5,3,5,5,4,4,3,5,5,5,5,3,5,4,5,1,5,1,2,4,1,5,5,5,1,1,5,1,5,5,3,3,1,1,5,1,2,5,3,4,2,3,4,2,1,2,4,6,1,2,2,2,1,3,18.0,4,3,64,0.001636675
341,28241048,1,30,170,9,3,210,12,28,47.6,1.91,19,2,0,1,0,3,0,0,1,2,1,1,0,2,1,5.0,18,3,2,1948,2,2,2,3,5000,3,1,2,2,2,2,2,23.8,2.74,3,4,3,4,5,4,5,5,5,4,4,5,5,1,5,5,5,1,5,3,4,4,3,4,3,4,2,3,1,5,1,5,5,5,5,5,5,1,5,5,1,5,5,5,5,3,2,4,1,1,5,5,5,1,3,4,2,1,2,4,5,1,1,1,3,4,3,18.0,4,3,62,0.000367986
342,47120932,1,55,76,1,4,160,54,30,5.6,3.25,34,4,2,2,0,4,2,1,1,1,1,2,1,1,1,6.0,7,4,1,1972,1,3,1,6,7000,3,1,2,2,2,2,1,2.8,4.66,3,2,2,3,4,4,4,3,2,4,3,4,4,2,4,2,4,2,4,2,3,2,2,3,4,2,2,2,5,3,2,4,2,3,2,4,3,2,2,4,2,3,4,4,3,3,3,4,3,2,2,4,4,4,1,7,1,2,3,3,5,2,3,2,2,3,5,34.0,4,5,38,0.000967286
344,42340159,1,60,1,1,0,12,11,0,2.2,0.11,1,2,0,1,3,2,0,0,2,2,2,2,0,2,1,3.0,44,4,2,1966,-1,2,6,4,7000,2,2,2,2,2,1,1,2.2,0.16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,4,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,7,1,2,4,4,5,1,-1,2,2,1,5,1.0,3,5,44,0.001472131
345,44690160,2,3,2,11,0,18,16,0,2.0,0.16,1,6,0,3,2,6,0,4,3,1,2,6,0,1,1,7.0,47,4,2,1961,1,3,2,6,7000,3,1,2,2,1,2,2,2.2,0.23,4,3,3,2,3,5,4,3,4,5,5,4,4,2,4,2,2,2,5,3,4,2,4,2,4,4,4,4,4,4,2,3,2,4,3,4,3,2,2,4,2,2,5,4,5,4,3,4,3,3,2,4,4,3,3,7,1,2,4,3,5,1,1,2,3,1,5,0.7,3,5,49,0.000367986
346,54420907,2,10,0,4,0,38,38,0,0.0,0.06,0,2,0,1,0,0,0,1,1,1,1,2,0,1,1,5.5,35,3,2,1949,1,2,2,4,5000,3,1,2,2,2,2,2,2.2,0.09,4,3,3,3,5,5,4,3,4,5,3,4,4,3,4,6,3,3,4,3,3,5,2,3,4,3,3,3,2,5,2,3,3,2,3,2,2,2,2,3,3,3,4,4,6,3,2,5,3,4,2,2,3,3,3,2,2,2,4,4,5,2,1,2,2,3,6,0.2,5,6,61,0.000367986
347,10540178,1,45,56,1,3,186,111,19,8.2,2.75,34,2,0,2,0,2,0,2,2,1,1,2,1,2,1,6.0,24,5,1,1951,2,2,2,6,9000,3,2,2,2,2,2,1,8.2,3.94,1,5,3,2,4,5,4,2,4,4,1,5,5,4,6,6,5,1,5,5,5,4,5,6,6,6,5,1,5,1,1,1,1,4,4,5,2,1,6,6,4,4,4,6,6,1,1,4,1,2,4,1,2,4,2,4,2,1,4,1,3,3,1,3,3,3,1,28.0,4,1,59,0.000409116
348,44690020,1,15,60,4,2,107,30,17,16.6,1.18,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,16.6,1.69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,7,1,2,4,3,-1,1,-1,-1,-1,-1,5,12.0,-1,5,-1,0.001636675
350,30860595,0,133,66,7,2,100,26,8,7.6,3.45,49,1,0,1,0,0,0,1,1,1,1,1,1,1,1,5.5,37,2,2,1941,1,1,9,-1,3250,2,1,2,2,2,1,1,3.8,4.94,2,3,4,5,3,4,4,6,6,4,4,6,4,3,5,6,4,1,4,2,4,4,2,4,4,4,4,4,4,4,6,4,2,2,4,4,2,2,4,4,2,2,4,4,6,6,6,4,6,6,4,6,4,2,3,6,2,2,4,2,5,2,1,2,2,4,4,30.0,4,4,69,0.00115614
353,39020293,1,20,29,1,2,55,18,8,12.6,2.1,25,3,0,3,0,2,0,1,2,1,1,3,0,1,1,6.0,16,-1,2,1986,1,6,1,8,7384,3,1,2,2,2,2,1,6.3,3.01,6,1,3,3,6,4,4,1,3,5,1,4,4,1,3,1,1,3,5,5,4,4,4,2,4,3,3,1,3,3,3,3,3,2,3,3,1,1,3,3,1,3,3,3,1,1,1,3,2,1,3,3,3,3,1,7,1,2,2,2,6,1,4,1,3,4,2,18.0,4,2,24,0.00087004
356,39111299,1,60,127,7,3,202,51,24,49.8,4.77,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,49.8,6.84,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,4,2,2,2,2,-2,2,-2,-2,-2,-2,2,54.0,-2,2,-1,0.000288998
357,44640690,0,135,52,9,4,120,30,38,19.2,4.76,48,2,0,1,0,1,0,1,2,1,1,2,0,1,1,5.0,19,6,2,1938,2,2,6,6,15000,3,1,2,2,1,2,1,9.6,6.82,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,7,1,2,4,4,5,2,3,-1,-1,3,5,46.0,5,5,72,0.000288998
359,54260567,1,155,141,2,9,271,84,46,37.4,10.36,108,2,0,3,0,3,0,2,1,1,1,2,0,1,1,5.0,1,-1,1,1963,1,2,1,6,9035,6,2,2,2,2,2,1,37.4,14.85,2,2,1,2,2,4,3,4,1,5,2,2,4,4,4,6,4,4,5,2,4,4,6,5,1,6,4,2,5,3,1,1,4,1,4,1,3,1,3,4,2,3,3,4,5,3,2,2,1,5,2,4,4,3,2,7,1,2,4,2,5,4,3,1,2,4,6,104.0,5,6,47,0.00010913200000000001
360,90301035,1,10,13,4,0,33,20,0,4.4,0.4,5,2,0,1,0,1,0,1,1,1,1,1,0,2,1,4.5,15,3,1,1944,1,2,9,3,5000,8,1,2,2,2,2,1,2.2,0.57,4,3,2,2,4,4,6,6,2,5,3,4,4,2,4,6,4,1,5,2,4,4,4,3,2,1,4,2,4,2,1,1,3,4,4,3,3,1,1,4,2,4,4,3,6,2,3,4,2,2,3,3,4,4,3,2,2,2,2,3,3,2,3,2,2,3,7,2.9,5,7,66,0.000125765
361,10360205,1,15,41,9,2,99,49,9,3.0,0.63,8,2,-1,2,-1,-1,1,2,3,1,1,2,1,1,1,7.0,22,4,1,1941,2,2,9,8,7000,6,1,2,2,2,2,1,2.2,0.9,2,4,3,3,4,4,4,-1,2,4,4,5,4,2,4,6,3,4,2,4,4,5,2,4,4,2,4,2,4,4,6,2,3,2,4,4,4,2,4,4,2,4,3,6,6,2,2,4,6,2,3,4,4,3,3,4,2,1,4,1,3,1,-1,-1,-1,4,1,5.5,4,1,69,8.57e-05
362,10350085,1,20,56,1,5,190,116,18,10.8,1.16,14,3,0,2,0,3,0,1,2,1,2,2,0,1,1,4.0,22,4,1,1953,2,3,1,6,7000,3,2,2,2,2,2,1,10.8,1.66,1,3,3,3,5,4,5,1,3,4,4,5,5,1,2,4,5,1,5,5,3,5,4,6,6,6,5,1,5,3,1,6,1,3,3,2,2,1,3,3,3,4,3,3,1,3,1,1,3,3,3,3,4,1,1,7,1,1,4,1,6,2,2,1,2,3,1,12.5,-1,1,57,0.000409116
363,28420168,0,168,133,1,6,189,46,10,64.0,16.93,178,4,2,2,0,4,2,4,1,1,1,3,1,1,1,5.0,10,5,1,1963,2,3,1,6,9000,6,1,2,2,2,2,1,32.0,24.26,6,4,4,2,4,5,4,2,4,4,4,5,5,1,3,2,2,1,5,4,3,1,2,2,5,4,2,4,5,2,6,4,3,3,3,4,4,2,4,4,2,4,4,4,4,2,1,4,3,4,2,4,3,2,1,4,2,1,2,2,5,2,1,3,2,4,3,180.0,4,3,47,0.00010913200000000001
365,30330171,0,42,38,4,1,78,35,5,9.6,2.4,28,2,0,2,0,4,0,1,1,1,1,1,0,1,2,4.0,10,6,2,1944,1,7,9,-1,15000,4,2,2,1,2,2,1,0.0,3.44,5,5,1,3,4,5,4,2,3,5,5,1,3,3,5,6,2,1,2,1,5,3,1,1,4,4,3,3,4,4,1,3,4,3,4,2,2,2,4,4,2,1,4,3,6,3,1,5,2,3,2,3,4,2,3,4,1,2,2,4,5,3,1,2,3,3,4,17.7,4,4,66,7.709999999999999e-05
366,42271272,1,-1,4,4,0,13,9,0,3.2,0.35,4,2,0,1,1,2,0,1,1,1,1,2,0,1,1,5.0,35,5,2,1948,1,3,6,3,9000,3,1,2,2,2,2,1,2.2,0.5,3,2,2,3,4,4,6,2,3,3,4,4,2,2,4,3,4,3,3,3,2,3,3,3,4,4,3,3,4,4,2,4,3,2,4,4,3,2,2,4,4,2,4,4,6,3,3,4,3,3,3,4,4,4,3,7,1,2,4,3,5,1,4,1,1,4,5,2.5,1,5,62,0.000367986
367,54200563,1,55,53,8,1,107,47,7,12.6,2.41,33,2,0,1,0,1,0,1,1,1,1,2,0,1,1,5.5,48,4,1,1937,1,2,9,3,7000,3,2,2,2,2,2,1,12.6,3.45,2,4,3,3,4,5,4,3,3,4,3,4,4,3,4,3,5,2,4,5,4,4,4,4,3,3,4,2,3,3,2,2,3,3,4,4,3,2,4,4,2,2,3,3,3,4,2,4,3,2,3,4,4,4,3,4,2,2,4,4,5,4,1,2,2,4,6,18.0,4,6,73,0.0003213
368,90320688,0,43,39,1,1,52,9,4,6.0,1.85,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,6.0,2.65,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,3,-2,2,-2,-2,-2,-2,7,13.5,-2,7,-1,0.000409116
370,31320758,0,80,53,4,2,108,31,24,27.6,4.06,56,2,0,1,0,3,0,1,1,1,1,2,0,1,1,5.5,38,3,1,1964,1,6,4,7,5000,3,2,2,2,2,2,3,27.6,5.82,5,2,2,2,3,4,2,4,2,4,2,3,3,2,4,6,2,1,6,6,6,2,6,2,5,4,3,1,4,4,3,3,3,3,2,4,2,3,3,4,2,3,3,3,3,2,2,4,1,3,2,5,4,2,3,6,1,2,4,2,5,2,2,2,3,3,4,38.0,4,4,46,0.000409116
372,54260137,1,40,121,-1,4,185,33,31,38.4,1.36,19,2,0,1,4,2,0,2,0,1,1,2,0,1,1,4.0,38,3,1,1936,1,2,9,2,5000,7,2,2,2,2,1,1,38.4,1.95,1,2,5,3,4,4,3,1,1,5,5,4,5,2,3,-1,5,1,5,2,5,5,4,4,5,2,1,1,2,4,1,1,5,1,2,2,2,1,2,5,5,1,1,3,3,5,1,5,3,3,4,5,5,4,3,7,1,2,4,2,5,2,-1,-1,3,4,6,11.8,2,6,74,0.000125765
373,10360159,2,10,-1,8,0,0,27,0,0.0,0.14,1,3,2,1,0,2,2,1,2,1,1,1,0,1,1,5.0,8,3,2,1968,2,4,2,4,5000,3,2,2,2,2,2,1,0.0,0.2,1,3,4,3,4,4,4,3,2,5,1,5,5,3,3,5,5,1,4,4,3,4,6,5,2,6,5,3,4,3,1,6,4,3,3,2,3,1,3,5,1,5,5,5,5,2,1,5,1,3,4,4,3,4,3,4,2,1,4,1,5,1,3,2,2,3,1,0.4,8,1,42,0.000367986
374,42270059,1,20,20,10,1,75,50,5,5.4,1.34,18,1,0,1,0,1,0,1,1,1,2,1,0,2,2,3.0,10,4,2,1975,1,1,1,2,7000,6,2,2,2,2,2,1,5.4,1.92,2,3,3,3,2,4,4,2,3,4,6,3,3,2,4,6,4,3,5,3,3,3,3,2,2,6,4,3,4,3,3,3,4,3,3,5,3,1,2,4,3,3,4,4,3,3,2,4,3,1,3,4,4,4,3,7,1,2,4,3,5,2,3,2,2,3,5,10.0,8,5,35,0.00023208400000000002
375,54541081,0,316,274,10,3,329,31,24,141.4,32.57,269,1,0,1,0,1,0,0,1,2,2,-1,-1,1,1,5.5,37,2,2,1940,1,1,6,8,3250,3,1,2,2,2,2,1,70.7,46.67,5,3,6,3,3,5,6,6,5,6,4,3,3,3,5,6,3,1,3,6,6,3,1,1,5,4,6,2,6,5,1,3,1,3,3,6,6,5,5,3,6,3,3,3,6,3,6,5,6,3,3,3,3,3,3,6,2,2,4,4,5,5,1,2,2,3,6,345.0,4,6,70,0.000288998
376,90320178,0,390,321,2,4,382,46,15,138.0,36.33,262,5,3,1,0,5,2,2,1,1,1,2,1,1,1,5.0,4,4,1,1974,1,3,1,6,7000,4,2,2,1,2,2,1,0.0,52.06,5,3,1,1,4,4,4,4,4,4,4,2,6,2,4,2,2,1,3,2,4,2,3,2,5,3,3,2,5,5,2,4,3,2,4,4,2,1,2,4,4,2,3,4,4,2,1,5,3,3,2,4,4,3,1,2,2,2,2,3,4,2,3,2,2,4,7,404.0,4,7,36,0.000258025
377,50760299,0,274,229,11,5,320,44,47,74.4,16.03,129,3,1,1,0,1,1,1,1,1,1,3,0,2,2,3.0,2,3,1,1978,1,3,1,6,5000,3,2,2,2,2,2,1,74.4,22.97,2,4,3,3,3,4,3,2,5,5,5,5,4,1,4,4,1,3,5,2,3,1,1,5,5,1,5,3,5,5,1,1,1,2,5,3,3,1,1,5,1,1,5,5,1,1,3,1,1,1,1,5,5,3,3,7,1,2,4,4,5,2,3,3,3,4,5,179.0,5,5,32,0.000967286
378,47130387,0,179,254,7,7,381,36,91,105.2,28.96,202,2,0,1,0,0,0,1,0,1,2,2,0,1,1,2.5,2,2,1,1942,1,2,9,5,3250,3,2,2,2,2,2,1,105.2,41.5,2,2,4,2,2,4,2,5,5,5,1,5,5,2,5,-1,4,2,5,4,4,4,1,4,5,2,2,2,5,2,2,2,5,2,3,2,3,1,2,5,2,4,4,2,3,3,2,5,3,5,2,4,5,2,3,7,1,2,3,3,5,2,-1,2,-1,4,5,320.0,4,5,68,0.0003213
379,19130149,1,70,80,1,2,162,28,54,21.6,3.57,34,4,2,2,0,4,2,2,3,1,1,2,0,1,1,6.0,6,2,1,1969,2,3,1,6,3250,6,2,2,2,2,2,1,21.6,5.12,1,5,6,6,4,4,5,1,4,5,1,5,5,2,4,1,1,1,5,5,4,2,5,5,5,5,4,1,4,1,4,2,4,4,5,5,4,1,1,5,4,4,4,2,1,2,1,4,2,4,4,2,2,4,1,8,1,1,2,4,3,2,4,2,2,3,2,37.0,5,2,41,0.00010913200000000001
380,70140237,1,19,41,1,0,71,30,0,26.8,3.03,32,2,0,1,1,0,0,1,1,1,1,2,0,2,1,3.0,18,2,2,1950,1,2,1,7,3250,3,1,2,2,2,2,1,13.4,4.34,6,6,3,3,3,5,3,3,3,3,3,3,3,3,3,4,5,1,3,2,5,5,5,3,3,3,2,3,3,4,2,4,4,2,4,3,4,1,2,5,1,5,2,5,3,1,1,5,3,2,4,5,4,4,1,4,2,2,2,3,5,2,4,2,2,1,8,30.0,8,8,60,0.000367986
381,42271395,1,5,0,5,0,9,9,0,0.0,0.16,2,5,3,1,0,5,3,1,1,1,1,2,1,1,1,5.5,10,5,1,1968,1,3,1,3,9000,4,2,2,2,2,1,1,0.0,0.23,4,1,1,2,4,5,2,5,2,4,4,4,2,2,4,4,5,1,4,2,5,5,4,2,5,5,3,2,5,4,1,3,4,3,4,2,4,1,2,5,2,4,4,5,5,2,2,5,1,3,2,4,4,4,-1,7,1,2,4,3,5,1,3,2,2,3,5,0.9,5,5,42,0.00010913200000000001
382,95240431,1,10,4,4,0,33,29,0,6.0,0.28,2,1,0,1,0,1,0,1,0,1,2,2,0,2,2,4.5,3,1,2,1957,1,1,3,6,2000,3,2,2,2,2,2,1,6.0,0.4,4,4,2,5,4,4,3,3,4,4,3,5,4,3,4,3,4,1,4,3,4,4,3,4,4,3,4,2,4,3,1,3,2,3,3,3,4,1,3,4,3,1,4,4,4,3,1,5,4,3,4,4,4,4,3,6,2,2,4,4,5,2,2,2,2,3,7,2.0,5,7,53,0.000367986
383,19650224,1,30,44,1,2,182,111,27,16.8,2.83,40,1,0,1,0,1,0,1,1,1,2,1,0,2,2,2.0,10,3,2,1962,2,1,1,1,5000,3,2,2,2,2,2,1,16.8,4.06,1,3,3,3,4,4,5,3,3,4,3,4,4,3,4,6,4,3,4,4,4,4,4,3,3,6,4,4,4,2,4,4,3,4,4,4,3,1,2,3,3,3,4,3,3,3,3,4,3,3,3,3,3,4,1,4,2,1,2,2,5,2,3,1,1,3,2,24.0,3,2,48,0.000367986
385,30330558,1,45,32,9,0,59,27,0,7.6,2.05,28,2,0,1,1,2,0,1,2,1,1,3,2,1,1,6.0,6,6,1,1963,1,2,1,3,15000,4,1,2,2,1,2,1,3.8,2.94,2,4,1,1,3,5,4,6,4,4,4,1,4,3,3,6,3,3,4,2,4,2,2,2,4,5,4,3,4,4,1,2,1,1,5,2,3,2,4,5,4,1,4,3,4,3,4,2,2,2,3,4,4,4,3,4,1,2,2,4,4,3,1,2,2,3,4,16.05,6,4,47,0.00010913200000000001
